#optical pumping
#RF/kHz   Horizontalfeld/mA 1.Peak     Horizontalfeld/mA 2.Peak   1.Peak/A  2.Peak/A
100.3     0     0       0.597     0.666
201       35    35      0.245     0.484
301       56    56      0.187     0.545
400       76    76      0.139     0.617
499       91    91      0.162     0.753
603       116   116     0.047     0.763
699       88    159     0.688     0.473
801       101   182     0.736     0.508
899       149   207     0.265     0.493
1004      156   237     0.410     0.424
