\begin{table}
\begin{tabular}{cccccc}
col0 & col1 & col2 & col3 & col4 & col5 \\
0.0 & 293.85 & 293.65 & 4.7 & 5.02 & 0.0 \\
60.0 & 293.95 & 293.65 & 6.7 & 4.22 & 119.0 \\
120.0 & 294.45 & 293.65 & 7.0 & 4.38 & 120.0 \\
180.0 & 295.75 & 293.65 & 7.1 & 4.43 & 123.0 \\
240.0 & 297.35 & 292.95 & 7.3 & 4.43 & 124.0 \\
300.0 & 298.65 & 292.05 & 7.5 & 4.39 & 123.0 \\
360.0 & 299.85 & 291.25 & 7.8 & 4.3 & 122.0 \\
420.0 & 300.55 & 290.35 & 8.0 & 4.21 & 121.0 \\
480.0 & 302.15 & 289.55 & 8.1 & 4.17 & 121.0 \\
540.0 & 303.25 & 288.85 & 8.3 & 4.02 & 120.0 \\
600.0 & 304.35 & 288.05 & 8.4 & 3.97 & 119.0 \\
660.0 & 305.25 & 287.35 & 8.7 & 3.88 & 119.0 \\
720.0 & 306.25 & 286.65 & 8.9 & 3.8 & 119.0 \\
780.0 & 307.15 & 286.05 & 9.0 & 3.77 & 119.0 \\
840.0 & 308.05 & 285.45 & 9.1 & 3.7 & 120.0 \\
900.0 & 308.95 & 284.95 & 9.3 & 3.63 & 120.0 \\
960.0 & 309.75 & 284.35 & 9.6 & 3.6 & 120.0 \\
1020.0 & 310.55 & 283.85 & 9.8 & 3.58 & 121.0 \\
1080.0 & 311.45 & 283.35 & 10.0 & 3.53 & 121.0 \\
1140.0 & 312.25 & 282.85 & 10.1 & 3.49 & 121.0 \\
1200.0 & 313.15 & 282.35 & 10.3 & 3.43 & 122.0 \\
1260.0 & 313.95 & 281.95 & 10.4 & 3.42 & 122.0 \\
1320.0 & 314.65 & 281.55 & 10.6 & 3.4 & 122.0 \\
1380.0 & 315.35 & 281.15 & 10.8 & 3.39 & 122.0 \\
1440.0 & 316.05 & 280.75 & 10.9 & 3.37 & 122.0 \\
1500.0 & 316.75 & 280.45 & 11.1 & 3.35 & 122.0 \\
1560.0 & 317.45 & 280.15 & 11.2 & 3.33 & 122.0 \\
1620.0 & 318.05 & 279.85 & 11.3 & 3.3 & 122.0 \\
1680.0 & 318.65 & 279.55 & 11.5 & 3.28 & 122.0 \\
1740.0 & 319.25 & 279.35 & 11.7 & 3.25 & 122.0 \\
1800.0 & 319.85 & 278.35 & 11.8 & 3.23 & 122.0 \\
1860.0 & 320.55 & 277.25 & 11.9 & 3.22 & 122.0 \\
1920.0 & 321.05 & 276.85 & 12.1 & 3.21 & 122.0 \\
1980.0 & 321.55 & 276.55 & 12.2 & 3.21 & 122.0 \\
2040.0 & 322.05 & 276.25 & 12.4 & 3.2 & 122.0 \\
2100.0 & 322.65 & 276.05 & 12.5 & 3.2 & 122.0 \\
2160.0 & 323.15 & 276.05 & 12.7 & 3.2 & 122.0 \\
\end{tabular}
\end{table}
