Z�hlrohrwinkel	Rate bei 35kV
2*theta/�	R(35kV)/Imp/s

8,0	4,0
8,4	2,0
8,8	3,0
9,2	5,0
9,6	4,0
10,0	4,0
10,4	16,0
10,8	28,0
11,2	40,0
11,6	43,0
12,0	49,0
12,4	46,0
12,8	53,0
13,2	57,0
13,6	62,0
14,0	61,0
14,4	53,0
14,8	55,0
15,2	56,0
15,6	58,0
16,0	51,0
16,4	48,0
16,7	43,0
17,2	44,0
17,6	39,0
18,0	41,0
18,4	32,0
18,8	31,0
19,2	26,0
19,6	32,0
20,0	26,0
20,4	23,0
20,8	25,0
21,2	23,0
21,6	19,0
22,0	24,0
22,4	20,0
22,8	23,0
23,2	17,0
23,6	19,0
24,0	21,0
24,4	16,0
24,8	17,0
25,2	18,0
25,6	13,0
26,0	17,0
26,4	21,0
26,8	38,0
27,2	52,0
27,6	40,0
28,0	37,0
28,4	38,0
28,8	31,0
29,2	35,0
29,6	26,0
30,0	28,0
30,4	24,0
30,8	22,0
31,2	25,0
31,6	22,0
32,0	23,0
32,4	20,0
32,8	14,0
33,2	14,0
33,6	20,0
34,0	11,0
34,4	12,0
34,8	14,0
35,2	11,0
35,5	12,0
36,0	10,0
36,4	11,0
36,8	11,0
37,2	8,0
37,5	8,0
38,0	11,0
38,4	6,0
38,8	8,0
39,2	6,0
39,5	6,0
40,0	8,0
40,4	18,0
40,8	19,0
41,2	14,0
41,5	7,0
42,0	4,0
42,4	5,0
42,8	3,0
43,2	6,0
43,6	4,0
44,0	3,0
44,4	4,0
44,8	5,0
45,2	28,0
45,5	15,0
46,0	5,0
46,4	3,0
46,8	3,0
47,2	2,0
47,6	3,0
48,0	2,0
48,4	4,0
48,8	4,0
49,2	2,0
49,6	2,0
50,0	5,0
50,4	2,0
50,8	3,0
51,2	2,0
51,6	3,0
52,0	1,0
