Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

22,0	22,0
22,2	19,0
22,4	20,0
22,6	22,0
22,8	21,0
23,0	19,0
23,2	19,0
23,4	19,0
23,6	18,0
23,8	19,0
24,0	17,0
24,2	17,0
24,4	16,0
24,6	18,0
24,8	17,0
25,0	16,0
25,2	16,0
25,4	16,0
25,6	17,0
25,8	16,0
26,0	16,0
26,2	15,0
26,4	22,0
26,6	28,0
26,8	37,0
27,0	42,0
27,2	48,0
27,4	45,0
27,6	41,0
27,8	40,0
28,0	39,0
28,2	40,0
28,4	38,0
28,6	35,0
28,8	32,0
29,0	32,0
29,2	32,0
29,4	30,0
29,6	30,0
29,8	28,0
30,0	28,0
30,2	0,0
30,4	28,0
30,6	24,0
30,8	27,0
31,0	21,0
31,2	23,0
31,4	22,0
31,6	19,0
31,8	21,0
32,0	19,0
