Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

26,0	35,0
26,2	32,0
26,4	33,0
26,6	30,0
26,8	0,0
27,0	31,0
27,2	30,0
27,4	30,0
27,6	30,0
27,8	29,0
28,0	28,0
28,2	28,0
28,4	27,0
28,6	24,0
28,8	26,0
29,0	27,0
29,2	24,0
29,4	24,0
29,6	24,0
29,8	25,0
30,0	23,0
30,2	24,0
30,4	24,0
30,6	24,0
30,8	22,0
31,0	24,0
31,2	21,0
31,4	22,0
31,6	20,0
31,8	24,0
32,0	20,0
32,2	25,0
32,4	29,0
32,5	35,0
32,8	44,0
33,0	51,0
33,2	55,0
33,4	53,0
33,6	50,0
33,8	48,0
34,0	47,0
34,2	47,0
34,4	47,0
34,5	48,0
34,8	44,0
35,0	39,0
35,2	37,0
35,4	38,0
35,5	39,0
35,8	41,0
36,0	35,0
36,2	37,0
36,4	37,0
36,5	33,0
36,8	33,0
37,0	30,0
37,2	31,0
37,4	30,0
37,5	30,0
37,8	28,0
38,0	25,0
