Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

20,0	133,0
20,2	133,0
20,4	135,0
20,6	133,0
20,8	130,0
21,0	133,0
21,2	134,0
21,4	129,0
21,6	129,0
21,7	123,0
22,0	125,0
22,2	126,0
22,4	122,0
22,6	120,0
22,8	117,0
23,0	110,0
23,2	111,0
23,4	109,0
23,6	107,0
23,8	103,0
24,0	94,0
24,2	96,0
24,4	0,0
24,6	95,0
24,8	99,0
25,0	96,0
25,2	96,0
25,4	100,0
25,6	96,0
25,8	102,0
26,0	104,0
26,2	108,0
26,4	112,0
26,6	108,0
26,8	111,0
27,0	109,0
27,2	103,0
27,4	97,0
27,6	92,0
27,8	93,0
28,0	83,0
28,2	79,0
28,4	85,0
28,6	82,0
28,8	79,0
29,0	76,0
29,2	79,0
29,4	74,0
29,6	78,0
29,8	76,0
30,0	78,0
30,2	86,0
30,4	100,0
30,6	107,0
30,8	112,0
31,0	113,0
31,2	114,0
31,4	112,0
31,6	111,0
31,8	106,0
32,0	106,0
32,2	99,0
32,4	103,0
32,5	97,0
32,8	95,0
33,0	95,0
33,2	88,0
33,4	86,0
33,6	87,0
33,8	82,0
34,0	84,0
