Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

32,0	71,0
32,2	68,0
32,4	68,0
32,5	67,0
32,8	64,0
33,0	61,0
33,2	63,0
33,4	62,0
33,6	63,0
33,8	59,0
34,0	61,0
34,2	61,0
34,4	57,0
34,5	57,0
34,8	56,0
35,0	57,0
35,2	55,0
35,4	50,0
35,5	52,0
35,8	52,0
36,0	54,0
36,2	50,0
36,4	49,0
36,5	44,0
36,8	48,0
37,0	49,0
37,2	49,0
37,4	57,0
37,5	64,0
37,8	76,0
38,0	86,0
38,2	89,0
38,4	88,0
38,6	82,0
38,8	82,0
39,0	80,0
39,2	84,0
39,4	81,0
39,5	78,0
39,8	77,0
40,0	86,0
40,2	115,0
40,4	329,0
40,5	713,0
40,8	878,0
41,0	847,0
41,2	789,0
41,4	421,0
41,5	157,0
41,8	114,0
42,0	105,0
