Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

14,0	108,0
14,2	108,0
14,4	106,0
14,6	109,0
14,8	106,0
15,0	109,0
15,2	108,0
15,4	110,0
15,6	108,0
15,8	111,0
16,0	108,0
16,2	111,0
16,4	108,0
16,6	108,0
16,7	105,0
17,0	103,0
17,2	103,0
17,4	101,0
17,6	103,0
17,7	104,0
18,0	96,0
18,2	98,0
18,4	98,0
18,6	93,0
18,8	91,0
19,0	89,0
19,2	87,0
19,4	88,0
19,6	95,0
19,8	111,0
20,0	155,0
20,2	190,0
20,4	215,0
20,6	223,0
20,8	224,0
21,0	223,0
21,2	228,0
21,4	225,0
21,6	216,0
21,7	223,0
22,0	219,0
22,2	221,0
22,4	218,0
22,6	217,0
22,8	216,0
23,0	211,0
23,2	211,0
23,4	207,0
23,6	201,0
23,8	204,0
24,0	192,0
24,2	191,0
24,4	193,0
24,6	189,0
24,8	185,0
25,0	183,0
25,2	186,0
25,4	180,0
25,6	176,0
25,8	177,0
26,0	173,0
