#Imps  U in V  I in microAmpere
0             450       0.20
35050         460       0.30
35724         470       0.35
36480         480       0.40
36574         490       0.42
36961         500       0.52
37141         510       0.60
36881         520       0.62
37379         530       0.75
37176         540       0.80
37276         550       0.92
37621         560       0.98
37201         570       1.01
37326         580       1.05
37541         590       1.10
37594         600       1.12
37640         610       1.30
37334         620       1.40
37986         630       1.50
38002         640       1.58
38058         650       1.64
37629         660       1.70
37353         670       1.80
37637         680       1.84
37815         690       1.90
37743         700       1.98
37716         710       2.02
37938         720       2.06
38047         730       2.20
38104         740       2.22
37755         750       2.32
37662         760       2.40
37877         770       2.42
38182         780       2.50
38128         790       2.60
38142         800       2.62
38252         810       2.80
37984         820       2.90
38063         830       2.98
38422         840       3.00
38423         850       3.10
38492         860       3.15
38650         870       3.20
38624         880       3.25
38462         890       3.35
38285         900       3.45
